name,max,min,median
ATL,3087,700,"1,466"
BOS,1017,287,522
BWI,694,202,403
CLT,1355,169,495
DCA,690,190,366
DEN,1967,319,897
DFW,1510,562,940
DTW,1125,211,549
EWR,721,201,415
FLL,666,143,368
IAD,734,120,355
IAH,1213,279,599
JFK,723,201,455
LAS,1105,334,667
LAX,1773,439,"1,006"
LGA,667,217,421
MCO,973,212,587
MDW,710,133,312
MIA,573,156,360
MSP,1113,246,531
ORD,1964,573,"1,108"
PDX,576,112,264
PHL,905,174,391
PHX,1461,369,750
SAN,736,223,427
SEA,1140,247,506
SFO,1074,260,637
SLC,1591,173,506
TPA,620,135,361
